,SubjectID,AssignmentID,ClientTimestamp,DateTime,NextDateTime,Diff,DaysDiff,HoursDiff,MinutesDiff,SecondsDiff
110,Student23,Assign6,1634323205465,2021-10-15 18:40:05.465,2021-10-15 18:42:58.194,0 days 00:02:52.729000,0.0,0.05,2.87,172.0
111,Student23,Assign6,1634323378194,2021-10-15 18:42:58.194,2021-10-15 18:45:02.503,0 days 00:02:04.309000,0.0,0.03,2.07,124.0
112,Student23,Assign6,1634323502503,2021-10-15 18:45:02.503,2021-10-15 18:45:22.177,0 days 00:00:19.674000,0.0,0.01,0.32,19.0
113,Student23,Assign6,1634323522177,2021-10-15 18:45:22.177,2021-10-15 18:45:46.472,0 days 00:00:24.295000,0.0,0.01,0.4,24.0
114,Student23,Assign6,1634323546472,2021-10-15 18:45:46.472,2021-10-15 18:48:36.103,0 days 00:02:49.631000,0.0,0.05,2.82,169.0
115,Student23,Assign6,1634323716103,2021-10-15 18:48:36.103,2021-10-15 18:48:45.203,0 days 00:00:09.100000,0.0,0.0,0.15,9.0
116,Student23,Assign6,1634323725203,2021-10-15 18:48:45.203,2021-10-15 18:49:15.139,0 days 00:00:29.936000,0.0,0.01,0.48,29.0
117,Student23,Assign6,1634323755139,2021-10-15 18:49:15.139,2021-10-15 18:49:22.767,0 days 00:00:07.628000,0.0,0.0,0.12,7.0
118,Student23,Assign6,1634323762767,2021-10-15 18:49:22.767,2021-10-15 18:50:03.123,0 days 00:00:40.356000,0.0,0.01,0.67,40.0
119,Student23,Assign6,1634323803123,2021-10-15 18:50:03.123,2021-10-15 18:50:13.532,0 days 00:00:10.409000,0.0,0.0,0.17,10.0
120,Student23,Assign6,1634323813532,2021-10-15 18:50:13.532,2021-10-16 19:11:59.013,1 days 00:21:45.481000,1.0,0.36,21.75,1305.0
121,Student23,Assign6,1634411519013,2021-10-16 19:11:59.013,2021-10-16 19:12:44.937,0 days 00:00:45.924000,0.0,0.01,0.75,45.0
122,Student23,Assign6,1634411564937,2021-10-16 19:12:44.937,2021-10-16 19:21:11.648,0 days 00:08:26.711000,0.0,0.14,8.43,506.0
123,Student23,Assign6,1634412071648,2021-10-16 19:21:11.648,2021-10-16 19:23:46.212,0 days 00:02:34.564000,0.0,0.04,2.57,154.0
124,Student23,Assign6,1634412226212,2021-10-16 19:23:46.212,2021-10-16 19:30:55.445,0 days 00:07:09.233000,0.0,0.12,7.15,429.0
125,Student23,Assign6,1634412655445,2021-10-16 19:30:55.445,2021-10-16 19:31:18.330,0 days 00:00:22.885000,0.0,0.01,0.37,22.0
126,Student23,Assign6,1634412678330,2021-10-16 19:31:18.330,2021-10-16 19:39:16.247,0 days 00:07:57.917000,0.0,0.13,7.95,477.0
127,Student23,Assign6,1634413156247,2021-10-16 19:39:16.247,2021-10-16 19:39:27.840,0 days 00:00:11.593000,0.0,0.0,0.18,11.0
128,Student23,Assign6,1634413167840,2021-10-16 19:39:27.840,2021-10-16 19:40:10.794,0 days 00:00:42.954000,0.0,0.01,0.7,42.0
129,Student23,Assign6,1634413210794,2021-10-16 19:40:10.794,2021-10-16 19:40:21.363,0 days 00:00:10.569000,0.0,0.0,0.17,10.0
130,Student23,Assign6,1634413221363,2021-10-16 19:40:21.363,2021-10-16 19:41:38.550,0 days 00:01:17.187000,0.0,0.02,1.28,77.0
131,Student23,Assign6,1634413298550,2021-10-16 19:41:38.550,2021-10-16 19:42:05.601,0 days 00:00:27.051000,0.0,0.01,0.45,27.0
132,Student23,Assign6,1634413325601,2021-10-16 19:42:05.601,2021-10-16 19:42:40.425,0 days 00:00:34.824000,0.0,0.01,0.57,34.0
133,Student23,Assign6,1634413360425,2021-10-16 19:42:40.425,2021-10-16 19:50:21.340,0 days 00:07:40.915000,0.0,0.13,7.67,460.0
134,Student23,Assign6,1634413821340,2021-10-16 19:50:21.340,2021-10-16 19:51:49.927,0 days 00:01:28.587000,0.0,0.02,1.47,88.0
135,Student23,Assign6,1634413909927,2021-10-16 19:51:49.927,2021-10-16 20:05:07.474,0 days 00:13:17.547000,0.0,0.22,13.28,797.0
136,Student23,Assign6,1634414707474,2021-10-16 20:05:07.474,2021-10-16 20:06:31.273,0 days 00:01:23.799000,0.0,0.02,1.38,83.0
137,Student23,Assign6,1634414791273,2021-10-16 20:06:31.273,2021-10-16 20:13:33.519,0 days 00:07:02.246000,0.0,0.12,7.03,422.0
138,Student23,Assign6,1634415213519,2021-10-16 20:13:33.519,2021-10-16 20:14:53.648,0 days 00:01:20.129000,0.0,0.02,1.33,80.0
139,Student23,Assign6,1634415293648,2021-10-16 20:14:53.648,2021-10-16 20:15:21.118,0 days 00:00:27.470000,0.0,0.01,0.45,27.0
140,Student23,Assign6,1634415321118,2021-10-16 20:15:21.118,2021-10-16 20:15:40.025,0 days 00:00:18.907000,0.0,0.0,0.3,18.0
141,Student23,Assign6,1634415340025,2021-10-16 20:15:40.025,2021-10-16 20:17:28.620,0 days 00:01:48.595000,0.0,0.03,1.8,108.0
142,Student23,Assign6,1634415448620,2021-10-16 20:17:28.620,2021-10-16 20:18:32.388,0 days 00:01:03.768000,0.0,0.02,1.05,63.0
143,Student23,Assign6,1634415512388,2021-10-16 20:18:32.388,2021-10-16 20:21:15.119,0 days 00:02:42.731000,0.0,0.04,2.7,162.0
144,Student23,Assign6,1634415675119,2021-10-16 20:21:15.119,2021-10-16 20:21:26.697,0 days 00:00:11.578000,0.0,0.0,0.18,11.0
145,Student23,Assign6,1634415686697,2021-10-16 20:21:26.697,2021-10-16 20:22:32.347,0 days 00:01:05.650000,0.0,0.02,1.08,65.0
146,Student23,Assign6,1634415752347,2021-10-16 20:22:32.347,2021-10-16 20:22:42.062,0 days 00:00:09.715000,0.0,0.0,0.15,9.0
147,Student23,Assign6,1634415762062,2021-10-16 20:22:42.062,2021-10-16 20:24:54.835,0 days 00:02:12.773000,0.0,0.04,2.2,132.0
148,Student23,Assign6,1634415894835,2021-10-16 20:24:54.835,2021-10-16 20:25:13.877,0 days 00:00:19.042000,0.0,0.01,0.32,19.0
149,Student23,Assign6,1634415913877,2021-10-16 20:25:13.877,2021-10-16 20:25:38.626,0 days 00:00:24.749000,0.0,0.01,0.4,24.0
150,Student23,Assign6,1634415938626,2021-10-16 20:25:38.626,2021-10-16 20:32:29.873,0 days 00:06:51.247000,0.0,0.11,6.85,411.0
151,Student23,Assign6,1634416349873,2021-10-16 20:32:29.873,2021-10-16 20:33:46.823,0 days 00:01:16.950000,0.0,0.02,1.27,76.0
152,Student23,Assign6,1634416426823,2021-10-16 20:33:46.823,2021-10-16 21:02:02.241,0 days 00:28:15.418000,0.0,0.47,28.25,1695.0
153,Student23,Assign6,1634418122241,2021-10-16 21:02:02.241,2021-10-18 22:29:31.479,2 days 01:27:29.238000,2.0,1.46,87.48,5249.0
154,Student23,Assign6,1634596171479,2021-10-18 22:29:31.479,2021-10-18 22:30:37.543,0 days 00:01:06.064000,0.0,0.02,1.1,66.0
155,Student23,Assign6,1634596237543,2021-10-18 22:30:37.543,2021-10-18 22:30:58.305,0 days 00:00:20.762000,0.0,0.01,0.33,20.0
156,Student23,Assign6,1634596258305,2021-10-18 22:30:58.305,2021-10-18 22:33:25.844,0 days 00:02:27.539000,0.0,0.04,2.45,147.0
157,Student23,Assign6,1634596405844,2021-10-18 22:33:25.844,2021-10-18 22:34:00.003,0 days 00:00:34.159000,0.0,0.01,0.57,34.0
158,Student23,Assign6,1634596440003,2021-10-18 22:34:00.003,2021-10-18 22:34:17.105,0 days 00:00:17.102000,0.0,0.0,0.28,17.0
159,Student23,Assign6,1634596457105,2021-10-18 22:34:17.105,2021-10-18 22:36:45.915,0 days 00:02:28.810000,0.0,0.04,2.47,148.0
160,Student23,Assign6,1634596605915,2021-10-18 22:36:45.915,2021-10-19 00:24:26.262,0 days 01:47:40.347000,0.0,1.79,107.67,6460.0
161,Student23,Assign6,1634603066262,2021-10-19 00:24:26.262,2021-10-19 00:24:34.140,0 days 00:00:07.878000,0.0,0.0,0.12,7.0
162,Student23,Assign6,1634603074140,2021-10-19 00:24:34.140,2021-10-19 00:24:57.911,0 days 00:00:23.771000,0.0,0.01,0.38,23.0
163,Student23,Assign6,1634603097911,2021-10-19 00:24:57.911,2021-10-19 03:18:00.264,0 days 02:53:02.353000,0.0,2.88,173.03,10382.0
164,Student23,Assign6,1634613480264,2021-10-19 03:18:00.264,2021-10-19 03:18:12.252,0 days 00:00:11.988000,0.0,0.0,0.18,11.0
165,Student23,Assign6,1634613492252,2021-10-19 03:18:12.252,2021-10-19 03:19:14.215,0 days 00:01:01.963000,0.0,0.02,1.02,61.0
166,Student23,Assign6,1634613554215,2021-10-19 03:19:14.215,2021-10-19 03:23:31.660,0 days 00:04:17.445000,0.0,0.07,4.28,257.0
167,Student23,Assign6,1634613811660,2021-10-19 03:23:31.660,2021-10-19 03:23:58.340,0 days 00:00:26.680000,0.0,0.01,0.43,26.0
168,Student23,Assign6,1634613838340,2021-10-19 03:23:58.340,2021-10-19 03:24:30.869,0 days 00:00:32.529000,0.0,0.01,0.53,32.0
169,Student23,Assign6,1634613870869,2021-10-19 03:24:30.869,2021-10-19 03:25:11.508,0 days 00:00:40.639000,0.0,0.01,0.67,40.0
170,Student23,Assign6,1634613911508,2021-10-19 03:25:11.508,2021-10-19 03:25:24.379,0 days 00:00:12.871000,0.0,0.0,0.2,12.0
171,Student23,Assign6,1634613924379,2021-10-19 03:25:24.379,2021-10-19 03:25:40.642,0 days 00:00:16.263000,0.0,0.0,0.27,16.0
172,Student23,Assign6,1634613940642,2021-10-19 03:25:40.642,2021-10-19 03:26:20.387,0 days 00:00:39.745000,0.0,0.01,0.65,39.0
173,Student23,Assign6,1634613980387,2021-10-19 03:26:20.387,2021-10-19 03:27:10.688,0 days 00:00:50.301000,0.0,0.01,0.83,50.0
174,Student23,Assign6,1634614030688,2021-10-19 03:27:10.688,2021-10-19 03:28:23.291,0 days 00:01:12.603000,0.0,0.02,1.2,72.0
175,Student23,Assign6,1634614103291,2021-10-19 03:28:23.291,2021-10-19 03:28:45.733,0 days 00:00:22.442000,0.0,0.01,0.37,22.0
176,Student23,Assign6,1634614125733,2021-10-19 03:28:45.733,2021-10-19 03:28:57.615,0 days 00:00:11.882000,0.0,0.0,0.18,11.0
177,Student23,Assign6,1634614137615,2021-10-19 03:28:57.615,2021-10-19 03:30:04.909,0 days 00:01:07.294000,0.0,0.02,1.12,67.0
178,Student23,Assign6,1634614204909,2021-10-19 03:30:04.909,2021-10-19 03:31:34.607,0 days 00:01:29.698000,0.0,0.02,1.48,89.0
179,Student23,Assign6,1634614294607,2021-10-19 03:31:34.607,2021-10-19 03:31:58.576,0 days 00:00:23.969000,0.0,0.01,0.38,23.0
